id,name,category,brand,img-url,price,desc,net-weight,can-weight,count
e591c30e-86d8-4663-85aa-2817d3140c7f,Berry THC 60mL Beverage Shot,BEVERAGES,Favour by Token,https://res.cloudinary.com/get-greenline/image/upload/v1657040033/vd6o0ewyurjj7oy6s9tb.jpg,6.25,"Favour from Token is Canada's first cannabis drink shot made for mixing. Made with innovative THC nano-emulsion and real fruit juice, these flavour-forward drink mixers taste great and act fast. Drink as a shot for convenience or mix into your favorite drink for full-flavour enjoyment. Expect to feel effects in approximately 15 minutes and are likely to last a few hours, so turn up or wind down - the experience is yours to choose. Each bottle contains 10mg of nano-emulsified THC combined with delicious, full-bodied flavours without a bitter aftertaste. Made with raspberry juice, natural flavours and a cannabis formulation that eliminates cannabis taste and smell. These fast-acting, sessionable drinks are non-carbonated and water soluble so you can add it to your favourite beverage, hot or cold. Plus, Favour is shelf-stable for convenient storage until you're ready to mix! Contains no common allergens. Designed and made in Alberta by local company Token Naturals.",60,0.85,2
b76db8d1-a746-40fb-910e-3b0f9897efa5,Black Cherry 355mL Sparkling Beverage,BEVERAGES,Versus,https://res.cloudinary.com/get-greenline/image/upload/v1634840262/haoyw7n3gkbboak4nhpo.jpg,6.25,"Versus Black Cherry Seltzer is made with SoRSE cannabis emulsion technology, which delivers a quicker onset with almost no cannabis taste or smell. With 10 mg of THC, this carbonated beverage tastes clean, crisp and refreshing.",355,0.6,7
c8983e49-4dd6-450d-8ce4-d1a1bad00ea1,Blood Orange HYTN 355mL Sparkling Beverage,BEVERAGES,HYTN,,6,"With our proprietary Elevation Technology to emulsify 10 mg of THC in every can, HYTN's Blood Orange Sparkling Cannabis Beverage is not only all-natural and delicious but also consistent and fast acting. Our chef-designed Blood Orange is the most citrus forward of all our flavours crafted with all-natural ingredients, zero sugar, no calories, and is always gluten free.",355,0.62,6
96051667-c152-4f21-9f2b-dda7f0d9b720,Cherry Cola Sweet Justice 355mL Beverage,BEVERAGES,Sweet Justice,https://res.cloudinary.com/get-greenline/image/upload/v1649191082/bb5yr8u8texewx3lcs9n.jpg,8.75,"Cherry Cola 10 is a throwback to another longtime favourite...the clean, classic taste of Cola balanced with a twist of natural, juicy cherry flavour! Nano-infused for fast onset with a 10mg dose of THC per serving, Cherry Cola 10 is designed for those who are more familiar with cannabis. Imagine drinking a cold, refreshing OG Cola under a cherry tree with ripe, juicy Bing cherries droppin' and exploding into your glass. Keepin' it real with REAL sugar, natural ingredients and only100 calories - keep sipping to your sweet spot! The Sweet Justice Classics collection of cannabis-infused beverages is inspired by old school craft sodas and mixology recipes which are flavour-forward and familiar - but with a twist. With fewer calories than a traditional alcoholic drink, sure to bring added enjoyment and delight to any session.",355,0.62,2
ec3c3a76-df99-48b1-b5b2-2d474222d83b,Ginger Ale Galaxy 222mL Sparkling Beverage,BEVERAGES,Deep Space,https://res.cloudinary.com/get-greenline/image/upload/v1657040038/flezdrwfi3pejir2augi.jpg,6,"Welcome to Deep Space. Small, potent and ready-to-go, Deep Space Ginger Ale Galaxy is full-flavoured and bold, offering the gingery bite of a classic ginger ale but with a unique Deep Space Twist. Fueled by 10mg THC, this infused carbonated beverage comes in a 222ml sleek can.",222,0.39,12
2022733f-3dd0-472f-a51c-35665525b93c,Island Punch 1:1 355 mL Soda,BEVERAGES,Vacay,https://res.cloudinary.com/get-greenline/image/upload/v1689791625/bfuy1pdmyhwhdhpplf2h.jpg,6.5,"Vacay Island Punch is a delicious blend of cherry and citrus flavours, with the perfect level of sweetness and carbonation for the ultimate chill refreshment. Made with SoRSE cannabis emulsion technology to deliver a predictable and consistent onset with almost no cannabis taste or smell. 10 mg of THC and 10 mg of CBD per can.",355,0.7,4
58fb6a46-8e15-4c15-8a6c-5be5551fd03c,Orange Orbit 222mL Soda,BEVERAGES,Deep Space,https://res.cloudinary.com/get-greenline/image/upload/v1649191129/kqxnpaozipjizygcmovl.jpg,6.5,"Welcome to Deep Space. Small, potent and ready-to-go, Deep Space Orange Orbit is a full-flavoured beverage with a bold orange soda taste and a unique Deep Space twist. Fueled by 10mg THC, this infused carbonated beverage comes in a 222ml sleek can.",222,0.39,2
8fa31317-56c0-4f98-8589-965c2b56b632,Passion Fruit Guava CBD 355mL Sparkling Beverage,BEVERAGES,Ace Valley,https://res.cloudinary.com/get-greenline/image/upload/v1686851009/rmt7mcv4zc1avj5cdl0m.jpg,6.5,"Ace Valley Passion Fruit Guava is a refreshing CBD-infused sparkling water. Enjoy these delicious passion fruit and juicy guava-flavoured bubbles tickling your tongue. With 25 mg of CBD, natural flavours, and no sugar added - it's a satisfying and delightful choice.",355,0.6,11
c3f90a37-5fa3-42d7-8569-81b5b761ce76,Propulsion Pulsar Peach (THC+CBG+Caffeine) 355mL Sparkling Beverage,BEVERAGES,Deep Space,https://res.cloudinary.com/get-greenline/image/upload/v1677258860/gbivaivbf3m2h5nbmfu9.jpg,8.5,"STAY ENGAGED with Deep Space Propulsion Pulsar Peach - a refreshingly delicious bold peach soda with vibrant notes of melon. Pulsar Peach is fueled by 10 mg of THC, 10 mg of CBG and naturally occurring caffeine to ignite your discovery. THC effects may be felt within 30 minutes of consumption (individual results may vary). Made with natural flavours and colours.",355,0.62,12
69f0b878-394f-4154-aaa8-6a7080b01984,Raspberry Iced Tea 355mL Beverage,BEVERAGES,Tweed,https://res.cloudinary.com/get-greenline/image/upload/v1623781034/x31cgkx6p2oj0vbeftot.jpg,6,"Tweed Iced Tea Raspberry is a naturally flavoured, refreshing iced cannabis tea infused with 5mg of sativa-dominant THC distillate. Best enjoyed chilled, this quenching iced cannabis tea is the perfect choice to cool off with.",355,0.62,4
f56f4fbc-4b87-4fa1-971a-e96c1cb57785,Root Beer XMG 355mL Soda,BEVERAGES,XMG,https://res.cloudinary.com/get-greenline/image/upload/v1664456480/n9ryutbqewynlfnuvdbx.jpg,6.75,"X up the midweek-chill or log off for the week with this intense Root Beer beverage. Each 355 ml sleek can has 10mg nano-infused THC. Enjoy chilled, straight up, right out of the can.",355,0.62,6
faeca9c6-63da-4ff6-95e0-ea366d190eb5,XMG Cream Soda 355mL Soda,BEVERAGES,XMG,https://res.cloudinary.com/get-greenline/image/upload/v1673369951/gbzeyoytu54syokcyjdc.jpg,7.5,"Get X'd when your group chat is on fire with this intense Cream Soda beverage. Each 355 ml sleek can has 10mg nano-infused THC with all-natural flavours. Enjoy chilled, straight up, right out of the can.",355,0.62,9
7ae57c90-8aa2-49c1-a474-66e8bc9b66cb,Argyle 10 mg x 15 Caps,CAPSULES/ SOFTGELS,Tweed,,32,"An indica-dominant strain with a balanced THC-to-CBD ratio, Argyle's clove-like notes are layered with earthy hints from myrcene that add complexity and depth to these softgels.",2.25,9,22
f2559a1b-2943-47eb-b342-7f68640d9106,CBD 50 Softgel x 15 Capsules Stigma,CAPSULES/ SOFTGELS,Stigma Grow,,16.25,"Stigma Grows Full Spectrum CBD 50 Softgel capsules are an easy and convenient way to get the high dose of a Full Spectrum CBD that you've been looking for. Leaving nothing behind, you will find the full range of cannabinoids you would expect present in each capsule. Created using the popular hybrid CBD stain Sour Space Candy, these capsules are sure to tick every box when it comes to a well rounded CBD product.",0.75,3,2
480b29b0-6e3b-43aa-be19-9379663469e2,Ovis Softgels THC 10mg  x 15 Softgels,CAPSULES/ SOFTGELS,Ovis,,13.75,Blue softgel with 10mg THC in MCT oil.,6.2,1.5,11
1c654576-6baa-4606-84c7-2b61ba5c6a55,Ovis Softgels THC:CBD Balanced 10:10  x 15 Softgels,CAPSULES/ SOFTGELS,Ovis,https://res.cloudinary.com/get-greenline/image/upload/v1686850989/i8jgenuvk5sewo1k3szf.jpg,13.75,Green balanced THC:CBD softgel in MCT oil.,6.2,0.6,11
a3f1d85f-5b52-4879-84b8-73ee58abdce1,Black Afghan 2g Hash,CONCENTRATES,3Saints,https://res.cloudinary.com/get-greenline/image/upload/v1686850984/b5hqef0zrsss7syydmyz.jpg,26.5,"Single Source Black Afghan Hash. Sublime, deeply rick flavour that's as smooth as silk & spicy. A soft, malleable texture. Black on the outside with a warm dark brown on the inside. A full spectrum experience with the highest THC range (43-50%) of a traditional hash available on the legal market. Top terpenes: Caryophyllene, Linalool, Terpineol. 1-5%",2,8,1
e81ff2fd-e7e7-47e4-aec1-978aa4967651,Blueberry 1g Shatter,CONCENTRATES,DAB BODS,https://res.cloudinary.com/get-greenline/image/upload/v1631538206/achze7ckvoigvefqwttv.jpg,32.5,"High-quality extract with cannabinoid potencies up to 82%; translucent and amber in colour with strong aroma and flavour. Dab Bods Shatter offers a high-quality, strain-specific hydrocarbon cannabis concentrate with impressive cannabinoid potencies up to 82% and a translucent, glass-like consistency that's easy to dab, vape or add to dry flower. Jam-packed with the potency, flavour and aromas that we strip from Canada's most recognizable and popular strains, our shatter brings everything you want from your cannabis plant to the table.",1,4,3
7cfaec2a-5a41-459b-b93b-6d5e889f38e3,Blueberry 2g Moon Rocks,CONCENTRATES,DAB BODS,,46.75,"DAB Bods Moonrocks - Tasty nuggets of locally grown hand trimmed 'AAAA' bud doused with a delicious tasty drizzle of honey like resin and then carefully rolled in a soft blanket of kief.  Proudly featuring the popular and potent strain 'Blueberry' - an Indica dominant hybrid strain that has been known to provide relaxing and very euphoric effects. This delicate combination showcases very bright, fresh explosive flavours of blueberry with subtle undertones of vanilla, spice and musk and potently high ranges of THC between 40-50% . If you ever wanted to go to space, this is out of this world!",2,8,7
a616d66f-a9e7-4bc4-9cf6-adac41deb1ce,Cherry Kush 1.2g Dab Syringe,CONCENTRATES,BOXHOT,https://res.cloudinary.com/get-greenline/image/upload/v1680787813/ehy1xh7arzkro5rnjxjq.jpg,38.25,"BOXHOT presents Cherry Kush in a 1.2g Disty Dabber, specifically designed with versatility in mind. Dab, infuse, mix or vape it! Featuring a colossal 1000MG of THC,  it contains some of the purest cannabis distillate available on the market and an entourage of expertly infused premium strain-specific terpenes. All BoxHot dabbers are manufactured with a glass syringe and stainless steel plunger for precision dosing.",1.2,4.8,6
ee6355c7-3cb5-4bd2-86c7-d60781d533fa,Diamond Dust 1g THCA Isolate,CONCENTRATES,BOLD,https://res.cloudinary.com/get-greenline/image/upload/v1650346946/kviaimaax7dfxd4iknlj.jpg,37,"BOLD proudly presents THCA Diamond Dust!  Add this 99% pure THCA isolate powder to your joints, bongs, vaporizers, pipes, dab rigs or however you prefer to consume cannabis without altering taste or odor profile while elevating THC potency.  Our 1g THCA Diamond Dust comes in a glass jar and offers a clean, precise and consistent experience without any residual solvents or impurities.",1,4,4
46aa3fc3-4fb7-44a9-a0ef-5eadae5d1c91,Hawaiian Sativa 1g Shatter,CONCENTRATES,DAB BODS,,31,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent, and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this sativa-heavy extract is priced and positioned to appeal to those who want the very best, on a budget.",1,4,10
c78d1eea-6623-4057-b072-5b4952141191,Pink Princess Kush 1g Shatter,CONCENTRATES,Roilty,,32.5,"Roilty's Pink Princess Kush is 1G of our highest potency BHO concentrate. As coveted as it's OG Kush relative, Pink Kush, is a heavy hitting indica strain that could race you across the finish line. Notes of fresh floral and sweet vanilla, from predominant terpene, Myrcene, are sure to have you feeling just peachy.",1,4,6
5d682787-bacf-4e3c-b581-0174d37a186f,Sapphire 2 g Kief,CONCENTRATES,Delta 9,https://res.cloudinary.com/get-greenline/image/upload/v1649191108/f5jsrl9mf9nm8i7i2hhp.jpg,16.5,"Sapphire is dried, sieved cannabis also known as 'kief', referring to the granular/powdery accumulation of trichome heads, which are the resin glands where cannabinoids and terpenes live. It's the dry sift process that separates the trichome heads from the plant, minimizing the amount of plant material in the end product. Kief has many different uses -- you can sprinkle it onto your bowl, add it to your roll, cook with it, press it into hash or heat press it into rosin. Sapphire is a powerhouse cannabis product with extremely high THC potency. Recommended for experienced cannabis consumers only.",2,8,4
7f2667d1-7fe1-42b1-b11f-b4e4230e16db,Strawberry Alien OG 1g Shatter,CONCENTRATES,RAD,https://res.cloudinary.com/get-greenline/image/upload/v1657040027/tlrqesdjiqvsixqbhsv4.jpg,32.75,RAD Strawberry Alien OG Shatter is produced via hydrocarbon extraction to produce a radically golden and brittle concentrate that will knock your socks off with its super sweet flavours and hints of spicy berries. This hybrid is the perfect choice for a day full of activities or a chill night on the couch. It's best enjoyed with your favourite dab rig or dab pen.,1,4,9
916a8674-fc26-40a6-8fe5-fd2f75756ade,Tropic Thunder 10 x 0.2g Hash Rip-Strips,CONCENTRATES,SHRED X,,27,"SHRED has reinvented the hash wheel, with the introduction of Rip Strip Hash. We take one of SHRED's signature aromatic blends, in this case, Tropic Thunder, which is known for its citrus and tropical aromas)press it into hash, and then shape that into 10 x 0.2 g ripstrips, which can then easily be added to your joint, bowl or pipe for some added potency and flavour. 2 g total per package. 35-40% THC.",2,8,6
4a0e7d01-3c81-462c-9803-29c8cb24beda,Chocolate Caramel Squares,EDIBLES -Chocolate,Vacay,https://res.cloudinary.com/get-greenline/image/upload/v1664456480/dxfvnhtsz6yflya6sok7.jpg,6.75,Milk chocolate filled with soft and creamy caramel. Breakable into two pieces. 10 mg THC per pack.,10,0.67,3
